Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap(Cr),Enterprise Value(Cr),1-Week Return,1-Month Return,3-Month Return(%),1-Year Return(%),3-Year Return,5-Year Return(%),10-Year Return(%),Price to Earnings,Median P/E,Price to Book,Median P/B,Earning Yield(%),Price earnings to growth,Dividend Yield(%),EV / EBITDA,Price / Sales,Price / Cash Flow,Earning Per Share,Book Value Per Share,Cash Flow Per Share,Free Cash Flow Per Share,Dividend Per Share,Delta
Sanofi India Ltd.,500674,SANOFI,INE058A01010,Healthcare,Drugs & Pharma,2022-09-05,"6,158.70",0.59,"6,086.30","8,542.75","5,607.00","9,300.00","3,901.00","9,300.00",235.05,"9,300.00","14,189.17","12,556.76",-1.36,-6.60,-10.19,-26.69,0.16,8.88,10.97,14.49,35.91,9.75,6.71,6.15,0.49,7.95,16.68,4.98,25.39,425.09,631.65,242.96,459.22,490.00,0.28
Page Industries Ltd.,532827,PAGEIND,INE761H01022,Textiles,Readymade Garments,2022-09-05,"49,786.20",-0.26,"31,500.00","51,500.00","16,186.75","51,500.00","16,186.75","51,500.00",240.00,"51,500.00","55,523.76","55,398.96",-0.30,1.55,17.33,53.31,41.31,22.38,32.25,75.79,84.56,42.85,31.82,1.85,3.63,0.74,51.79,11.75,169.84,656.83,"1,161.63",293.09,191.03,370.00,0.03
Procter & Gamble Hygiene & Health Care Ltd.,500459,PGHH,INE179A01014,Consumer Staples,Household & Personal Products,2022-09-05,"14,125.65",0.24,"12,801.00","16,466.40","8,400.00","16,466.40","8,131.05","16,466.40",217.70,"16,466.40","45,890.88","45,026.95",1.06,-4.20,0.90,3.83,11.82,10.96,19.00,79.71,78.01,62.22,36.24,1.83,13.56,1.13,52.71,12.10,53.17,177.37,227.22,265.90,270.47,315.00,0.14
Abbott India Ltd.,500488,ABBOTINDIA,INE358A01014,Healthcare,Drugs & Pharma,2022-09-05,"18,209.00",-1.26,"15,514.00","23,934.45","9,470.00","23,934.45","4,001.00","23,934.45",220.00,"23,934.45","38,698.80","36,476.35",-1.98,-10.80,2.13,-8.27,24.18,33.82,27.47,47.86,48.75,12.98,13.12,3.32,1.81,1.51,30.98,7.73,40.84,380.52,"1,403.00",445.96,446.90,275.00,0.24
Bosch Ltd.,500530,BOSCHLTD,INE323A01026,Automobile,Auto Ancillaries,2022-09-05,"17,591.10",0.13,"12,932.45","19,250.00","7,850.00","19,250.00","7,850.00","22,400.00",140.50,"27,990.00","51,882.56","48,919.90",1.96,0.17,22.61,22.93,9.51,-4.78,7.52,40.10,39.97,4.70,4.80,4.05,-5.80,1.19,25.04,4.03,192.66,438.11,"3,734.33",91.29,46.68,210.00,0.09
Nestle India Ltd.,500790,NESTLEIND,INE239A01016,Consumer Staples,Dairy products,2022-09-05,"19,259.70",-1.54,"16,000.00","20,609.15","12,200.00","20,609.15","6,800.00","20,609.15",285.00,"20,609.15","185,733.31","187,823.55",-1.37,-2.97,12.16,-4.97,15.56,22.91,15.34,87.86,76.49,79.78,57.59,1.81,5.80,1.04,51.32,11.96,81.77,219.27,241.48,235.57,170.92,200.00,0.07
Oracle Financial Services Software Ltd.,532466,OFSS,INE881D01027,Technology,Software,2022-09-05,"3,123.55",-0.77,"2,950.00","5,145.00","1,506.00","5,145.00","1,506.00","5,145.00",200.50,"5,145.00","26,928.30","22,062.31",-3.27,-5.91,-4.88,-34.23,0.67,-2.70,0.52,14.51,18.97,3.62,5.06,12.09,1.62,6.09,8.57,5.15,14.51,214.95,860.93,215.22,221.51,190.00,0.39
Bayer CropScience Ltd.,506285,BAYERCROP,INE462A01022,Chemicals,Pesticides,2022-09-05,"5,347.60",-0.13,"4,218.05","5,667.75","2,925.00","6,601.25","2,925.00","6,601.25",34.00,"6,601.25","24,010.09","23,263.96",0.21,1.15,-0.22,-2.43,19.64,5.53,18.26,34.59,49.91,8.49,7.91,3.96,1.67,2.81,24.80,4.82,111.42,154.47,629.02,48.00,55.28,150.00,0.06
MRF Ltd.,500290,MRF,INE883A01011,Automobile,Tyres & Tubes,2022-09-05,"84,254.05",-0.12,"63,000.00","89,499.90","49,915.10","98,599.95","49,915.10","98,599.95",401.00,"98,599.95","35,733.35","35,909.06",-1.19,-5.02,10.19,2.25,13.46,5.57,23.65,56.92,24.76,2.52,2.48,3.81,-3.86,0.18,15.57,1.72,-61.82,"1,478.99","33,376.26","-1,363.28","-5,522.36",150.00,0.06
Bajaj Auto Ltd.,532977,BAJAJ-AUTO,INE917I01010,Automobile,Two & Three Wheelers,2022-09-05,"3,956.65",-1.84,"3,027.05","4,131.75","1,788.65","4,361.40","1,788.65","4,361.40",131.00,"4,361.40","112,890.78","109,302.81",-2.41,-1.37,7.73,5.30,13.09,6.30,9.16,18.33,18.12,3.64,3.83,7.19,1.96,3.54,16.33,3.45,26.90,215.73,"1,086.49",145.05,204.04,140.00,0.04
